new_parallel_abstracts
[The human genome - again?].,10.1051/Medsci/2022086,10.1051,,
[Epigenetics and oncology: Two faces of the personalization of medicine].,10.1051/Medsci/2022025,10.1051,"In this article, we outline the two dominant concepts of personalized medicine put forward by epigenetics in the field of oncology. First, knowledge on the molecular processes involved in tumor progression contributes to molecularize medicine, extending genomic medicine. Then, the identification of epigenetic mechanisms underlying the environmental causes of cancers brings scientific legitimacy to products and services whose advertising promotes the ability of each person to protect herself from cancer by adapting her lifestyle. Lastly, we argue that research in environmental epigenetics could open a new route for personalized medicine in oncology, where epigenetics contributes to an individualized assessment of patients’ life paths.","Deux conceptions distinctes de la médecine personnalisée en cancérologie accompagnent le développement de la recherche en épigénétique : l’étude des processus moléculaires associés à la progression tumorale, qui renforce, dans l’espace médical, le programme de molécularisation de la médecine génomique ; l’exploration des mécanismes épigénétiques sous-jacents aux causes environnementales des cancers, qui apporte, dans la sphère marchande, une légitimité scientifique à des produits et à des services dont le marketing prône la capacité de chacun à se protéger du cancer par un style de vie adapté. La recherche en épigénétique environnementale pourrait, quant à elle, ouvrir une troisième voie pour la médecine personnalisée, centrée sur une approche individualisée des parcours de vie."
[Not Available].,10.1051/Medsci/2021223,10.1051,,
[Chemical exposome and non-targeted approaches].,10.1051/Medsci/2021088,10.1051,"The technological advances in high-resolution mass spectrometry (HRMS), associated with the development of bioinformatics tools, allows the simultaneous detection of tens of thousands of chemical signals in biological matrices, including exogenous (i.e. xenobiotics) and endogenous molecules. These novel approaches based on HRMS, called “non-targeted” approaches, provide a unique opportunity to capture exposures to a wide range of chemicals (i.e. the internal chemical exposome) in populations, and to better understand the links between chemical exposures and the occurrence of chronic diseases.","Les avancées techniques en spectrométrie de masse à haute résolution (SMHR), concomitantes au développement d’outils bio-informatiques, permettent aujourd’hui la détection simultanée de plusieurs dizaines de milliers de signaux chimiques dans des matrices biologiques, correspondant à des molécules d’origine exogène (dont les xénobiotiques) et à des molécules endogènes. Ces nouvelles approches reposant sur la SMHR, dites « non ciblées » car sans a priori, représentent une opportunité unique pour caractériser à grande échelle l’exposition de populations humaines aux composés chimiques (ce que l’on appelle exposome chimique interne), et ainsi mieux appréhender leur rôle dans la survenue de maladies chroniques."
[The exposome: Tensions between holism and reductionism].,10.1051/Medsci/2021092,10.1051,"In a post-genomics context, the concept of the exposome was introduced by Christopher Wild to advance a unified approach of exposures and consolidate different disciplinary fields of environmental health research. The exposome approach is characterized by the will to develop an integrative, longitudinal and more precise analysis of exposures, through the identification of biomarkers. The application of this plastic concept constitutes a privileged field of exploration of current issues and tensions, notably between holism and reductionism. This article analyses this concept and the associated promises. Improving the integration of biological, environmental and social data, the exposome concept supports practical interactions in the field of environmental health research and the advent of novel crosswise concepts to understand aetiology, such as ‘embodiment’ or ‘sociomarkers’.","Dans un contexte post-génomique, le concept d’exposome a été introduit par Christopher Wild pour proposer une approche unifiée des expositions et fédérer différents champs disciplinaires de la recherche en santé et environnement. L’approche « exposomique » se caractérise par la volonté de développer une analyse à la fois intégrative, longitudinale et plus précise des expositions, et cela principalement grâce à l’identification de biomarqueurs. L’usage du concept d’exposome, qui se révèle particulièrement plastique, constitue un terrain d’exploration privilégié des enjeux et tensions entre approches holiste et réductionniste dans les sciences de la santé. Cet article propose une analyse de ce concept, ainsi que des promesses qui lui sont associées."
[Cryo-electron microcopy for a new vision of the cell and its components].,10.1051/Medsci/2021034,10.1051,"Cryo-electron microscopy (cryo-EM) is a technique for imaging biological samples that plays a central role in structural biology, with high impact on research fields such as cell and developmental biology, bioinformatics, cell physics and applied mathematics. It allows the determination of structures of purified proteins within cells. This review describes the main recent advances in cryo-EM, illustrated by examples of proteins of biomedical interest, and the avenues for future development.","La cryo-microscopie électronique (cryo-EM) est une technique d’imagerie du vivant qui prend désormais une place prépondérante en biologie structurale, avec des retombées en biologie cellulaire et du développement, en bioinformatique, en biomédecine ou en physique de la cellule. Elle permet de déterminer des structures de protéines purifiées in vitro ou au sein des cellules. Cette revue décrit les principales avancées récentes de la cryo-EM, illustrées par des exemples d’élucidation de structures de protéines d’intérêt en biomédecine, et les pistes de développements futurs."
"[The sea anemone Nematostella vectensis, an emerging model for biomedical research: Mechano-sensitivity, extreme regeneration and longevity].",10.1051/Medsci/2020282,10.1051,"Nematostella has fascinating features such as whole-body regeneration, the absence of signs of aging and importantly, the absence of age-related diseases. Easy to culture and spawn, this little sea anemone in spite of its “simple” aspect, displays interesting morphological characteristics similar to vertebrates and an unexpected similarity in gene content/genome organization. Importantly, the scientific community working on Nematostella is developing a variety of functional genomics tools that enable scientists to use this anemone in the field of regenerative medicine, longevity and mecano-sensory diseases. As a complementary research model to vertebrates, this marine invertebrate is emerging and promising to dig deeper into those fields of research in an integrative manner (entire organism) and provides new opportunities for scientists to lift specific barriers that can be encountered with other commonly used animal models.","
Nematostella, petite anémone de mer, possède de fascinantes propriétés, telles que la régénération du corps entier, l’absence de signes de vieillissement et d’affections liées à l’âge comme, par exemple, le développement de cancers. Elle se cultive aisément et se reproduit en laboratoire. Malgré son aspect « simple », cet invertébré marin de l’embranchement des cnidaires partage avec les vertébrés des caractéristiques non seulement morphologiques, mais également génomiques. La communauté scientifique développe aujourd’hui une variété d’outils de génomique fonctionnelle permettant l’utilisation de cet animal de façon intégrative dans le domaine de la médecine régénérative, de la longévité et des maladies mécano-sensorielles. Son étude se présente comme particulièrement prometteuse pour faire progresser la connaissance dans ces différents domaines, offrant des possibilités expérimentales qui font défaut dans les modèles animaux classiques."
[New technologies to unveil the role of brain glial cells].,10.1051/Medsci/2020253,10.1051,"Brain function relies on complex interactions between neurons and different types of glial cells, such as astrocytes, microglia and oligodendrocytes. The relatively young field of “gliobiology” is thriving. Thanks to various technical innovations, it is now possible to address challenging biological questions on glial cells and unravel their multiple roles in brain function and dysfunction.","L’exécution des fonctions cérébrales requiert des interactions optimales entre les neurones et les différents types de cellules gliales (astrocytes, microglies et oligodendrocytes). Le domaine de la gliobiologie, qui s’intéresse aux cellules gliales, est en pleine expansion. Les innovations techniques permettent désormais d’aborder des questions biologiques complexes quant aux rôles de ces cellules dans le fonctionnement physiologique et pathologique du cerveau. Dans cette synthèse, nous décrivons comment certaines de ces avancées techniques nous ont permis d’en apprendre davantage sur les origines et les rôles fonctionnels des cellules gliales. Nous illustrons également comment ces techniques et les découvertes qui en ont découlé, peuvent être transposées en clinique et pourraient, dans un futur proche, offrir des nouvelles perspectives thérapeutiques."
[Development and maintenance of the neuromuscular system].,10.1051/Medsci/2020207,10.1051,"Diseases of the locomotor system are at the origin of disabilities with severe social and economic consequences. The study of the neuromuscular system development and maintenance has become a key challenge for the scientific community in order to design efficient therapies. My thesis project aims to elucidate the mechanisms at the origin of the communication between motoneuron axons and their muscle targets in order to understand how specific innervations are generated during development and maintained during adulthood. The first part of the project will address the understanding of the mechanisms controlling the specific muscle-axon recognition during development. I will perform live imaging and fixed tissues experiments to visualize and understand the development of myoblasts and motoneurons at the same time. Then, I will perform transcriptomic experiments to discover molecules playing a role in the specific axon-muscle recognition. The second part of the project is meant to elucidate the mechanism controlling the system maintenance in the adult. To answer this question I will study the function of morphological transcription factors in adulthood, which are known as transcription factors controlling the morphology of motoneurons during development. To conclude, this project will lead to novel biological concepts that will increase our fundamental knowledge on developmental biology. Understanding the mechanisms that specify the muscle innervation will allow to find efficient ways to tackle neuromuscular diseases.",
"[Pharmaceutical biotechnologies: drawing out the genome to develop, improve and personalize therapies and patient care].",10.1051/Jbio/2020015,10.1051,"Thanks to high-throughput sequencing with technologies, which allow the reading of more than 100 million bases in one day with reduced cost, our knowledge about prokaryotic, eukaryotic and viral genomes has significantly increased since the 2000s. The multiplication of genetic engineering tools including DNA polymerases, restriction enzymes and genome editing enzymes and the development of other “omic” technologies such as transcriptomics, proteomics, and metabolomics, have allowed pharmaceutical biotechnologies to favor the identification and validation of various diagnostic and therapeutic targets underlying the development of targeted therapies. Indeed, these advances have supported a better understanding of pathologies as well as an improvement in their diagnosis, through the identification of biomarkers, considerably favoring more personalized and more efficient patients’ care. The orientation towards more targeted treatments was initiated by the development of recombinant proteins, and more recently monoclonal antibodies, which can block protein functions and/or modulate immune responses. Gene therapy is also promising, by inserting a gene into patients’ cells to overcome rare diseases and autologous or heterologous cell-based therapies are also under development. Although their history is recent, pharmaceutical biotechnologies are evolving rapidly and offer exciting prospects at the dawn of precision medicine.","Grâce à l’accroissement des connaissances associées aux génomes permis par le séquençage à haut débit, à la multiplication des outils d’ingénierie génétique ainsi qu’aux autres technologies « omiques », les biotechnologies pharmaceutiques ont favorisé l’identification et la validation de nombreuses cibles diagnostiques et thérapeutiques et ont ainsi conduit au développement de nombreuses thérapies ciblées. Bien que leur histoire soit récente, les biotechnologies pharmaceutiques évoluent rapidement et offrent des perspectives réjouissantes à l’aube de la médecine de précision."
