[The promise of omics in the precision medicine era].,10.1016/J.Revmed.2022.07.009,10.1016
[The human genome - again?].,10.1051/Medsci/2022086,10.1051
[A genomic-adjusted radiation dose for a precision medicine in radiation oncology].,10.1016/J.Bulcan.2022.04.018,10.1016
[Epigenetics and oncology: Two faces of the personalization of medicine].,10.1051/Medsci/2022025,10.1051
[DNA repair gene alterations testing in prostate cancer : A practical update by the prostate cancer committee of the french association of urology].,10.1016/J.Purol.2021.12.007,10.1016
[Not Available].,10.1051/Medsci/2021223,10.1051
[Genetic basis of common variable immunodeficiency: from common to variable].,10.1684/Abc.2021.1670,10.1684
[Chemical exposome and non-targeted approaches].,10.1051/Medsci/2021088,10.1051
[The exposome: Tensions between holism and reductionism].,10.1051/Medsci/2021092,10.1051
[Precision medicine and immuno-radiotherapy].,10.1016/J.Canrad.2021.06.032,10.1016
[Meningiomas: A review of current knowledge].,10.1016/J.Revmed.2021.06.011,10.1016
[Epigenetic : Everything under control].,10.1684/Vir.2021.0900,10.1684
[Urinary biomarkers in kidney transplant recipients: From technological innovations to clinical development].,10.1016/J.Nephro.2020.03.003,10.1016
[Cryo-electron microcopy for a new vision of the cell and its components].,10.1051/Medsci/2021034,10.1051
[From boots on the ground to nucleotides in the sequencer: a century of advances in the study of the plant virus ecology].,10.1684/Vir.2021.0879,10.1684
"[The sea anemone Nematostella vectensis, an emerging model for biomedical research: Mechano-sensitivity, extreme regeneration and longevity].",10.1051/Medsci/2020282,10.1051
[New technologies to unveil the role of brain glial cells].,10.1051/Medsci/2020253,10.1051
[ViralZone : digitalizing for knowledge sharing].,10.1684/Vir.2020.0873,10.1684
[Development and maintenance of the neuromuscular system].,10.1051/Medsci/2020207,10.1051
"[Pharmaceutical biotechnologies: drawing out the genome to develop, improve and personalize therapies and patient care].",10.1051/Jbio/2020015,10.1051
[Not Available].,10.3917/Jibes.312.0067,10.3917
[Senotherapy: Advances and new clinical perspectives].,10.1051/Medsci/2020220,10.1051
[Identification of circulating inflammatory dendritic cells by a multi-omic approach].,10.1051/Medsci/2020152,10.1051
[In silico profiling of protein kinases inhibitors].,10.1051/Medsci/2020182,10.1051
[Undulating changes in human plasma proteome across lifespan].,10.1051/Medsci/2020150,10.1051
[Adaptive immunity against SARS-CoV-2].,10.1051/Medsci/2020168,10.1051
[Not Available].,10.1016/J.Revmed.2020.07.005,10.1016
[Membrane lipids in schizophrenia and early phases of psychosis: Potential biomarkers and therapeutic targets?].,10.1016/J.Encep.2019.11.009,10.1016
[Clinical Cancer Genetics: A guide for the pathologist].,10.1016/J.Annpat.2020.01.003,10.1016
[Breast cancer: News tools in imaging].,10.1016/J.Lpm.2019.10.007,10.1016
[Whole genome transplantation: bringing natural or synthetic bacterial genomes back to life].,10.1051/Medsci/2019154,10.1051
"[MicroRNAs, small genic regulators with high therapeutic potential in oncology].",10.1016/J.Bulcan.2019.08.002,10.1016
[Predictive assays for responses of tumors and normal tissues in radiation oncology].,10.1016/J.Canrad.2019.07.152,10.1016
[Regulators of the male epigenome: Markers and potential targets for anticancer therapy].,10.1016/J.Bulcan.2019.08.003,10.1016
[How the gut microbiota composition relates to the ethnic background].,10.1051/Medsci/2019089,10.1051
[In-depth analysis of the relationship between the MT<sub>2</sub> receptor of melatonin and type 2 diabetes].,10.1051/Medsci/2019088,10.1051
[In silico study of a functional mutation associated with non-small cell lung cancer: G12D mutation of exon 2 in KRAS gene].,10.1684/Abc.2019.1441,10.1684
[New approaches for protein-protein interaction study].,10.1051/Medsci/2019035,10.1051
[France and Great-Britain at the age of genomic medicine: new ethical challenges in reproductive medicine].,10.1051/Medsci/2019004,10.1051
[Neural network: A future in pathology?].,10.1016/J.Annpat.2019.01.004,10.1016
[Genetics and origin of Homo sapiens].,10.1051/Medsci/2018311,10.1051
[Giant viruses that create their own genes].,10.1051/Medsci/2018300,10.1051
[Biology of metastases and molecular mechanisms of their formation].,10.1016/J.Bulcan.2018.11.010,10.1016
[Next generation biobanking: the challenge of data].,10.1051/Medsci/2018203,10.1051
[From HGP-write to « Ultra-safe Cells »].,10.1051/Medsci/20183408025,10.1051
[Genomics in service delivery in France].,10.1051/Medsci/201834S122,10.1051
[France Genomics Medicine 2025 plan].,10.1051/Medsci/201834S121,10.1051
[State of play of knowledge and of technologies in the field of genomics].,10.1051/Medsci/201834S120,10.1051
[Multi-omic approaches reveal new therapeutic targets for the treatment of pancreatic cancer].,10.1051/Medsci/20183405003,10.1051
[Prospects for applications in human health of nanopore-based sequencing].,10.1051/Medsci/20183404012,10.1051
"[Precision medicine: A major step forward in specific situations, a myth in refractory cancers?].",10.1016/J.Bulcan.2018.01.009,10.1016
[From sequence variability to structural and functional prediction: modeling of homologous protein families].,10.1051/Jbio/2017030,10.1051
"[Nextflow, an efficient tool to improve computation numerical stability in genomic analysis].",10.1051/Jbio/2017029,10.1051
[IGoR: a tool for learning and simulating the random generation of antigen receptors].,10.1051/Jbio/2017033,10.1051
[Circadian proteomics].,10.1051/Jbio/2018025,10.1051
[Molecular characterisation defines several subtypes of pancreatic ductal adenocarcinoma].,10.1016/J.Bulcan.2017.11.010,10.1016
[Morphometry of pulmonary tissue: From manual to high throughput automation].,10.1016/J.Rmr.2017.09.003,10.1016
[Influence of epigenetic in Sjögren's syndrome].,10.1016/J.Revmed.2017.09.003,10.1016
[Cancer: three eras of personalized medicine].,10.1051/Medsci/20173310024,10.1051
[Characterization of rhythmic liver physiology by nuclear proteomics].,10.1051/Medsci/20173306005,10.1051
[The first stage of transmission of an epigenetic character followed by fluorescence].,10.1051/Medsci/20173308010,10.1051
[Tumour sequencing: Evolutions and revolutions].,10.1016/J.Canrad.2017.07.022,10.1016
[Computational medical imaging (radiomics) and potential for immuno-oncology].,10.1016/J.Canrad.2017.07.035,10.1016
"[Correlation of genetic and cytogenetic alterations in pathological aggressiveness urothelial carcinoma of the bladder: Performance of BCA-1, a mini-array comparative genomic hybridisation-based test].",10.1016/J.Purol.2017.05.002,10.1016
[Genomic medicine for every patient: Dream or reality?].,10.1016/J.Gofs.2017.02.009,10.1016
[Next-generation DNA sequencing in clinical diagnostics].,10.1016/J.Arcped.2017.01.008,10.1016
[Application of microelectronics CAD tools to synthetic biology].,10.1051/Medsci/20173302011,10.1051
[How genomic approaches help the understanding of the initiation of DNA replication].,10.1051/Medsci/20173302009,10.1051
[A new toolbox for genome editing].,10.1051/Medsci/20173301020,10.1051
[Big data and their perspectives in radiation therapy].,10.1016/J.Bulcan.2016.10.018,10.1016
[Contribution and challenges of Big Data in oncology].,10.1016/J.Bulcan.2016.10.020,10.1016
[Synthesizing a human genome?].,10.1051/Medsci/20163210025,10.1051
[Venoms and medical research].,10.1051/Jbio/2016016,10.1051
Introduction : Potential applications of pathogen genomics.,10.20506/Rst.35.1.2414,10.20506
Preface : Potential applications of pathogen genomics.,10.20506/Rst.35.1.2413,10.20506
